Bin_Center,Weighted_Real_Distance,Weighted_g_plus,Weighted_g_cross,Counts,bin_weight
3.239299100476142335e-04,3.220900695232539897e-04,1.864170304699413680e-02,2.804793517795811306e-03,3.890000000000000000e+02,3.890000000000000000e+02
3.975196605950921235e-04,3.985935691428307208e-04,6.548390609339849698e-03,1.465397320532213152e-02,5.520000000000000000e+02,5.520000000000000000e+02
4.878273838201903963e-04,4.887620504254736997e-04,2.367352036219630765e-02,-7.110758620773999054e-03,7.930000000000000000e+02,7.930000000000000000e+02
5.986510353943219793e-04,5.992443632933862297e-04,1.556651169027365063e-03,1.884146773195001165e-02,1.134000000000000000e+03,1.134000000000000000e+03
7.346513829793349963e-04,7.364180798265061592e-04,-9.853022349358840810e-04,1.105974555792171160e-02,1.650000000000000000e+03,1.650000000000000000e+03
9.015480181337178975e-04,9.033783437126869298e-04,7.643482169481149655e-03,-5.440359690395123746e-04,2.415000000000000000e+03,2.415000000000000000e+03
1.106359897812507834e-03,1.108414507165852991e-03,-3.207821646213068322e-03,-1.141786355283121819e-03,3.625000000000000000e+03,3.625000000000000000e+03
1.357700531605133707e-03,1.362328178089867612e-03,-1.247744617920976823e-03,8.743346015653648447e-04,5.445000000000000000e+03,5.445000000000000000e+03
1.666140229020892077e-03,1.671369761727233829e-03,-6.069648608043677444e-03,7.875808994836003057e-04,8.022000000000000000e+03,8.022000000000000000e+03
2.044650641389859913e-03,2.052612577478609302e-03,3.279562068842899452e-03,-2.638003469335948020e-03,1.200500000000000000e+04,1.200500000000000000e+04
2.509150293905751221e-03,2.516788347492404480e-03,8.251408504219079473e-04,-7.199456816127638471e-03,1.745100000000000000e+04,1.745100000000000000e+04
3.079174050549630948e-03,3.089069288494421337e-03,3.900520570833750263e-04,-3.982704096030725144e-03,2.568400000000000000e+04,2.568400000000000000e+04
3.778694666719058844e-03,3.789539968269282216e-03,-6.882428796396064226e-04,-1.694798069017167379e-03,3.771000000000000000e+04,3.771000000000000000e+04
4.637130980544067541e-03,4.651661832545323991e-03,1.297937324744821662e-05,-1.166234770047551482e-03,5.576800000000000000e+04,5.576800000000000000e+04
5.690585143094418000e-03,5.713959089775595170e-03,6.003368472016891531e-04,2.906413574235984770e-03,8.421400000000000000e+04,8.421400000000000000e+04
6.983360920076382358e-03,7.007976228807058332e-03,-1.207578034713914852e-03,1.900179415037586868e-03,1.281560000000000000e+05,1.281560000000000000e+05
8.569826918279167122e-03,8.596055520778899187e-03,-2.030181523996520479e-03,2.239142908880004633e-03,1.930200000000000000e+05,1.930200000000000000e+05
1.051670309608728274e-02,1.054644762467148514e-02,-1.686875765468632280e-03,4.045320187305730098e-04,2.803800000000000000e+05,2.803800000000000000e+05
1.290586671888825643e-02,1.294319997771261124e-02,-2.788271500176629867e-03,-8.210716713719633806e-04,4.057860000000000000e+05,4.057860000000000000e+05
1.583779576583048757e-02,1.588062902344084676e-02,-4.701446649976289880e-04,-2.008499263582002106e-03,5.807940000000000000e+05,5.807940000000000000e+05
