Bin_Center,Weighted_Real_Distance,Weighted_g_plus,Weighted_g_cross,Counts,bin_weight
3.239299100476142335e-04,3.220900695232539897e-04,1.833385807272700765e-04,1.352796220755386226e-02,3.890000000000000000e+02,3.890000000000000000e+02
3.975196605950921235e-04,3.985935691428307208e-04,-9.367846720893966903e-03,1.777339385463206495e-02,5.520000000000000000e+02,5.520000000000000000e+02
4.878273838201903963e-04,4.887620504254736997e-04,9.012703997387315480e-03,3.723664052896056686e-03,7.930000000000000000e+02,7.930000000000000000e+02
5.986510353943219793e-04,5.992443632933862297e-04,8.253298397850330429e-04,4.273956191317045301e-03,1.134000000000000000e+03,1.134000000000000000e+03
7.346513829793349963e-04,7.364180798265061592e-04,-7.065751697451942877e-03,3.155370199273778691e-03,1.650000000000000000e+03,1.650000000000000000e+03
9.015480181337178975e-04,9.033783437126869298e-04,1.253419489971246709e-03,1.062576559526440430e-02,2.415000000000000000e+03,2.415000000000000000e+03
1.106359897812507834e-03,1.108414507165852991e-03,-4.694473668366393702e-03,-2.035997592406054227e-03,3.625000000000000000e+03,3.625000000000000000e+03
1.357700531605133707e-03,1.362328178089867612e-03,-3.333539091325232046e-03,-1.790481031620809720e-03,5.445000000000000000e+03,5.445000000000000000e+03
1.666140229020892077e-03,1.671369761727233829e-03,1.008059181509172444e-03,6.916902559563647968e-03,8.022000000000000000e+03,8.022000000000000000e+03
2.044650641389859913e-03,2.052612577478609302e-03,1.267760625872570721e-03,1.400732027753450381e-03,1.200500000000000000e+04,1.200500000000000000e+04
2.509150293905751221e-03,2.516788347492404480e-03,1.514355527719333508e-03,5.241579213486306657e-04,1.745100000000000000e+04,1.745100000000000000e+04
3.079174050549630948e-03,3.089069288494421337e-03,5.797000202975305903e-03,1.102458619246481520e-03,2.568400000000000000e+04,2.568400000000000000e+04
3.778694666719058844e-03,3.789539968269282216e-03,1.870086795634735366e-03,-2.330126415322436237e-03,3.771000000000000000e+04,3.771000000000000000e+04
4.637130980544067541e-03,4.651661832545323991e-03,3.305128610904965562e-03,-5.019632315512541007e-04,5.576800000000000000e+04,5.576800000000000000e+04
5.690585143094418000e-03,5.713959089775595170e-03,3.653600959618589789e-03,-3.358784844383417754e-04,8.421400000000000000e+04,8.421400000000000000e+04
6.983360920076382358e-03,7.007976228807058332e-03,-7.341233942379799535e-05,-8.658226306982720697e-04,1.281560000000000000e+05,1.281560000000000000e+05
8.569826918279167122e-03,8.596055520778899187e-03,2.828926232014735385e-03,-3.981133920244283561e-05,1.930200000000000000e+05,1.930200000000000000e+05
1.051670309608728274e-02,1.054644762467148514e-02,1.169838495488853157e-03,-6.377916036739221224e-04,2.803800000000000000e+05,2.803800000000000000e+05
1.290586671888825643e-02,1.294319997771261124e-02,-1.441858598679697035e-03,2.193144492890591359e-03,4.057860000000000000e+05,4.057860000000000000e+05
1.583779576583048757e-02,1.588062902344084676e-02,1.742736452584176020e-03,5.576875286639151018e-03,5.807940000000000000e+05,5.807940000000000000e+05
