Bin_Center,Weighted_Real_Distance,Weighted_g_plus,Weighted_g_cross,Counts,bin_weight
3.239299100476142335e-04,3.220900695232539897e-04,7.920128555250906255e-03,3.143950133464062935e-02,3.890000000000000000e+02,3.890000000000000000e+02
3.975196605950921235e-04,3.985935691428307208e-04,2.684103700805966827e-03,1.444072418559904682e-02,5.520000000000000000e+02,5.520000000000000000e+02
4.878273838201903963e-04,4.887620504254736997e-04,-7.063045456578295137e-04,-1.126934759432675175e-02,7.930000000000000000e+02,7.930000000000000000e+02
5.986510353943219793e-04,5.992443632933862297e-04,-1.002311916310382432e-02,8.404176569440095085e-03,1.134000000000000000e+03,1.134000000000000000e+03
7.346513829793349963e-04,7.364180798265061592e-04,3.650437156333367125e-03,2.469424439019728135e-03,1.650000000000000000e+03,1.650000000000000000e+03
9.015480181337178975e-04,9.033783437126869298e-04,2.841384244789979703e-03,1.449976281699740313e-02,2.415000000000000000e+03,2.415000000000000000e+03
1.106359897812507834e-03,1.108414507165852991e-03,3.214334207929181366e-03,9.265343710900267522e-05,3.625000000000000000e+03,3.625000000000000000e+03
1.357700531605133707e-03,1.362328178089867612e-03,2.174811708458790783e-03,-6.481999495688791670e-04,5.445000000000000000e+03,5.445000000000000000e+03
1.666140229020892077e-03,1.671369761727233829e-03,-3.502969649465637828e-03,-4.711392253039791388e-03,8.022000000000000000e+03,8.022000000000000000e+03
2.044650641389859913e-03,2.052612577478609302e-03,-1.991865845102781807e-03,-2.528053374988653785e-04,1.200500000000000000e+04,1.200500000000000000e+04
2.509150293905751221e-03,2.516788347492404480e-03,4.499227268476500320e-03,-1.576339415324405678e-03,1.745100000000000000e+04,1.745100000000000000e+04
3.079174050549630948e-03,3.089069288494421337e-03,-4.324767493645898658e-03,3.242818511097107521e-03,2.568400000000000000e+04,2.568400000000000000e+04
3.778694666719058844e-03,3.789539968269282216e-03,-5.696822638325230604e-04,5.080788164409225961e-03,3.771000000000000000e+04,3.771000000000000000e+04
4.637130980544067541e-03,4.651661832545323991e-03,5.566683194435157649e-04,-1.370637170389344848e-03,5.576800000000000000e+04,5.576800000000000000e+04
5.690585143094418000e-03,5.713959089775595170e-03,-5.421960819626574701e-04,-2.346191637766589181e-03,8.421400000000000000e+04,8.421400000000000000e+04
6.983360920076382358e-03,7.007976228807058332e-03,-3.253145253253260632e-03,-2.771590928257441390e-03,1.281560000000000000e+05,1.281560000000000000e+05
8.569826918279167122e-03,8.596055520778899187e-03,-1.810431443194053655e-03,-1.799302004036191756e-03,1.930200000000000000e+05,1.930200000000000000e+05
1.051670309608728274e-02,1.054644762467148514e-02,3.624164023272820117e-04,-9.628426828358115433e-04,2.803800000000000000e+05,2.803800000000000000e+05
1.290586671888825643e-02,1.294319997771261124e-02,2.018002889979573188e-03,-2.293156661316433226e-03,4.057860000000000000e+05,4.057860000000000000e+05
1.583779576583048757e-02,1.588062902344084676e-02,5.146960611475670782e-04,-4.604006970540361517e-03,5.807940000000000000e+05,5.807940000000000000e+05
