# Z BIN1 BIN2 BIN3 BIN4 BIN5 BIN6
0.005 0.008486390815731215 0.003409182377184464 0.004237383395372223 0.003801095455139278 0.003194361532209512 0.003913027389761095
0.015 0.009731811054752723 0.003851332432527096 0.0043088215753428975 0.004748099679693685 0.0036315103383250317 0.0047409706137224745
0.025 0.011326998113046625 0.004236425537813092 0.004264897530156112 0.005444878491924508 0.004223213251860398 0.005145612522950393
0.035 0.013765915231476144 0.004993336147797019 0.004244575990847512 0.0060297407436062204 0.004881604704379426 0.006047926029091013
0.045 0.01726468691816605 0.005655708372817727 0.0043637929778833654 0.00670587513045594 0.005429153106448038 0.007161379505987732
0.055 0.021527357202422843 0.006189676760960734 0.0045456677238360785 0.007654439278300498 0.006169335237460543 0.008022212794785403
0.065 0.027351442795121812 0.00641015100191227 0.004581102471293284 0.008642520345964742 0.006569060370041498 0.009032188099377073
0.07500000000000001 0.03542704211487984 0.0071782338072480965 0.005049545952448918 0.00940525412914614 0.007138716564832362 0.010294228697401866
0.08499999999999999 0.0469089001297562 0.007938456652435333 0.005457832209571867 0.010288409363273129 0.007883514154323064 0.011545904683357236
0.095 0.06559463434203561 0.008898767356241268 0.005977373246117555 0.010566691709077708 0.008461195306153451 0.012643965313766105
0.10500000000000001 0.09815251821337596 0.011169457255213448 0.006611192056825592 0.010614729120703903 0.0096521589257409 0.014292025975938694
0.11499999999999999 0.1535728060340568 0.014038810567307873 0.0071491878921284445 0.010475885347534757 0.012148855912201146 0.01580025599827482
0.125 0.2468941753884588 0.01940658711128267 0.008259523559327651 0.010329647835230495 0.014490304977557466 0.01760582701024994
0.135 0.3928435278067804 0.02675941653570565 0.009460542050949096 0.010505140820849725 0.015786163728741656 0.0188779063448376
0.14500000000000002 0.5772107084106625 0.03792387264909097 0.011164864629902854 0.010901833593653909 0.016471700212703867 0.020940902702974384
0.155 0.7794626238766211 0.05471696106812829 0.013492967383387684 0.01157384154684196 0.017383213699428003 0.023128010852834748
0.165 1.021644351182903 0.07709773253732037 0.015703622782469763 0.012417829088251443 0.01860086387274687 0.02535033485509041
0.175 1.349196858271186 0.10553177076453422 0.018897994671014027 0.013187510670081486 0.019161554346004563 0.027407580721577306
0.185 1.8206470078707546 0.1400744946977193 0.02233913900213904 0.01279029103774362 0.01917971502765212 0.029872305098329142
0.195 2.459692768774836 0.1809855230573215 0.02716677954065817 0.012968193445085274 0.019324739326960466 0.03173784510105518
0.20500000000000002 3.20121687098314 0.22472723725926902 0.03336797015590489 0.013621041057663198 0.01921173486580176 0.03229983829745403
0.215 3.832743511157426 0.2685268223045622 0.03955225745148713 0.014821700729672954 0.01842942205575915 0.033501092308281334
0.225 4.289160182404966 0.31402442303384126 0.04776148586340319 0.015979524681556348 0.018230970815543396 0.03502834520125605
0.235 4.539854980595754 0.3637068677957457 0.05591641820315574 0.017430628730149295 0.017781833595573136 0.03645736148109347
0.245 4.623285303360396 0.4136776424991189 0.06609778212139547 0.018747909283640132 0.016939355385332422 0.03825366501796011
0.255 4.596731323030916 0.46279245909096 0.07703505414017166 0.02060283726486585 0.016145406986383573 0.03905495388609788
0.265 4.5556445607042155 0.5170098031014188 0.08813314470761578 0.022662057550226652 0.016200900452695094 0.03879224041707846
0.275 4.536373076171187 0.5728118744419991 0.10037838190154708 0.02507079451765166 0.016580018389916122 0.03824850594915872
0.28500000000000003 4.542788552283716 0.641766882869035 0.11338262842644448 0.027576825209455275 0.016280903817941665 0.037477105328208554
0.295 4.562007899304523 0.7220355126837205 0.12573787892019128 0.029674813393801056 0.01600878169916642 0.03659129450707313
0.305 4.541269764248601 0.8104052860746033 0.13752355844291045 0.03182321878592788 0.015584378585147534 0.03552819083010499
0.315 4.510573779684618 0.9005900824728721 0.14992606700446282 0.03422059345326472 0.01597766239326735 0.03506887121069568
0.325 4.424935693740927 1.0087314432953811 0.16346811424687982 0.0369368498197758 0.016290837410192827 0.033844919659896784
0.335 4.251282575082902 1.138527618826528 0.17631115525023416 0.03926605091534027 0.017432646968354403 0.03453701378799613
0.34500000000000003 4.008389753677539 1.2889888191971963 0.18819464658508236 0.041955346598221054 0.01840535359499852 0.035998801804285586
0.355 3.698809482663447 1.4531711876455708 0.19726977258105113 0.04318459941788509 0.019772348960317963 0.03766515949155997
0.365 3.3354577121759545 1.6344166928286188 0.20626163917148455 0.045083667117181626 0.021980422593880562 0.039537294109426566
0.375 2.92840119690175 1.8166425509026152 0.21515287649885806 0.04724418455915589 0.02436124005386149 0.041189552753408507
0.385 2.521715072053497 2.0440824354854024 0.2226991334135327 0.04978165012612714 0.027902035148588026 0.04207404655087461
0.395 2.1381724300737344 2.3633906427292657 0.2302975211997665 0.0519871481490415 0.030980237117283455 0.042218899604441
0.405 1.778947913885467 2.880405196067826 0.23611343598696244 0.0541650271810824 0.03308931367392046 0.04137778269015423
0.41500000000000004 1.5166354275182001 3.5019272608511827 0.24263608437928075 0.056651337037238694 0.03523458425800832 0.04019754302445136
0.425 1.3077893310549544 4.248865004803798 0.24885016764708826 0.05947883896141983 0.03599257477053237 0.04078835714257789
0.435 1.1172214968069778 4.919847824574906 0.256006804191724 0.061727896460769156 0.03557490318269407 0.042590508378877734
0.445 0.9408965272176154 5.345944820419175 0.2657593253996863 0.06479527151888986 0.0350363689207424 0.044708392443767356
