# Z BIN1 BIN2 BIN3 BIN4 BIN5
0.0 0.0 0.0 0.0 0.0 0.0
0.01 0.00021989624584421106 0.0 0.0 0.0 0.0
0.019999999999999997 0.0004321566082015524 0.0 0.0 0.0 0.0
0.03 0.0006688551270575243 0.0 0.0 0.0 0.0
0.04000000000000001 0.000597183578605671 0.0 0.0 0.0 0.0
0.05 0.0010763759398715524 0.0 0.0 0.0 0.0
0.06 0.0015916776060294845 0.0 0.0 0.0 0.0
0.07 0.0016556073518215616 0.0 0.0 0.0 0.0
0.07999999999999999 0.003602866102387347 0.0 0.0 0.0 0.0
0.09 0.002578651919527795 0.0 0.0 0.0 0.0
0.1 0.002691110387915847 0.0 0.0 0.0 0.0
0.10999999999999999 0.004438069563583354 0.0 0.0 0.0 0.0
0.12 0.007035523862040398 4.91773567450618e-05 0.0 0.0 0.0
0.13 0.012324929568811614 0.00011885798368347818 0.0 0.0 0.0
0.14 0.11094219748879626 9.326700928028944e-05 0.0 0.0 0.0
0.15 1.0689043276807075 3.9565599647815043e-05 0.0 0.0 0.0
0.16 2.1909653041846693 4.1922596947451725e-05 0.0 0.0 0.0
0.16999999999999998 2.7500084157826756 4.2117292180990594e-05 5.810790092468092e-05 0.0 0.0
0.18 2.7705373317120623 0.00013427618061284468 5.529925391775422e-05 0.0 0.0
0.19 2.7891787859478425 0.0002543053544720727 2.6077305537507964e-05 5.3377484467866256e-05 0.0
0.2 3.1934843905174293 0.0002997346877766878 2.943110154006014e-05 5.0852971314648626e-05 0.0
0.21 3.7071529363416653 0.0002538342212512868 0.00014899931054723108 0.0 0.0
0.22 4.1745992373125125 0.0004081187974329495 0.00011045072789635315 0.0 0.0
0.22999999999999998 4.44278911181771 0.0005180685399866118 0.00016420478744542973 0.0 0.0
0.24 4.589854446885178 0.0019293862122587023 0.0001401857018077046 5.77719273863775e-05 0.0
0.25 4.669529980677711 0.004480621778441804 0.0002011074073257161 0.0 0.0
0.26 5.014718687105325 0.006179519315427616 0.00017246548509037782 0.0 0.0
0.27 5.628832775551677 0.0062452085197483255 0.000252615626052583 0.0 0.0
0.28 6.313879908240251 0.0047840961618243775 0.0002862336315447535 0.0 0.0
0.29 6.915861235501929 0.006354848397676083 0.00033566710826326445 0.0 6.388367824270946e-05
0.3 7.134285325730378 0.014014844503293673 0.0004544157342682023 0.0 6.798183874819508e-05
0.31 6.922133060151857 0.06438720016329863 0.0004477507609358557 6.057438974150437e-05 0.0
0.32 6.332114328289779 0.25289643173617793 0.0006638180219657774 5.912484492327343e-05 6.934796906215897e-05
0.33 5.557939456423044 0.7660603429383234 0.00062225286853295 0.0 0.0
0.34 4.436903865885096 1.732775885608287 0.0006662855429844589 0.0 6.522024118195611e-05
0.35 3.210076147474442 2.8782930189282987 0.0007403874399821515 0.0 0.0
0.36 2.1584610823016153 3.876259409131788 0.0008303412336601621 0.0 5.887163078919825e-05
0.37 1.416078159549002 4.597689867613598 0.0010760398710713411 5.7638498752033325e-05 0.0
0.38 0.9182193195650029 4.9983492207228135 0.0018427611790806243 0.0 6.0525186816215506e-05
0.39 0.6037150023681617 5.309067146849659 0.0015625243802401658 5.252553789164149e-05 0.0
0.4 0.38996305982750185 5.5655577717756675 0.002235366422638668 0.0 0.00012482291160404474
0.41000000000000003 0.2494784566365291 5.855708403400912 0.002955591321065653 5.1963269762113333e-05 6.641568168772305e-05
0.42 0.15886013633056345 6.234686418827617 0.003140369206289286 5.9882364299049586e-05 0.0002463268516252279
0.43 0.08031587890710376 6.595617175152234 0.0056784556637335705 0.0 5.4159834026647855e-05
0.44 0.0361771273246408 7.023720939948107 0.008059245392616519 0.0 6.335987245357758e-05
0.45 0.01212623915110059 7.36472016373439 0.01990981455405326 0.0 0.00012599881269179778
0.46 0.004110066976111348 7.703833053267691 0.06245460697153326 0.00010507224605313764 0.0002676869476830753
0.47 0.0015036251949536034 7.8581305239769925 0.19415889315689 0.00011263792420681886 0.0003207380846186567
0.48 0.0008988548089706872 7.496983381895023 0.5870903481292427 0.00027382948434530026 0.00012110609156619
0.49 0.0008917398632532411 6.281394143225738 1.518815581584476 0.00032496526266757495 0.00037303951259941867
0.5 0.0006735481945848949 4.17634128834586 2.9352949289502455 0.0009538544042425211 0.00043501794263715654
0.51 0.0004506132287715846 2.1229325008873823 4.401132569580686 0.0019740852962876134 0.0005978957977483616
0.52 0.000879881620390831 0.824241514250067 5.408160425653356 0.0017459760013288613 0.0006862981956505636
0.53 0.00046247147163399477 0.26635644158344524 5.971077894075896 0.00284236532725242 0.0009573233523833616
0.54 0.0003106859629951452 0.07280728142936112 6.2374053952293265 0.004640750957126747 0.0009406548859294964
0.55 0.00015415715721133158 0.02029767097855193 6.436797057036859 0.005413210326242569 0.0015127681554147573
0.56 0.0004482415801991026 0.004728887471786635 6.554854295854993 0.005047199527408946 0.0018855386136449406
0.5700000000000001 0.00046484312020647677 0.0020910420488260487 6.65617206872909 0.007703435598022433 0.0024988712032030743
0.58 0.0003035710172776991 0.000821578939026266 6.702801832865447 0.023173627467827335 0.004145191272796653
0.59 7.82644028919068e-05 0.0010991022595669112 6.619799396393465 0.07787950553367383 0.003826437905158713
0.6 0.0003676055287347138 0.0005385601071877864 6.465587931629504 0.2092771555947449 0.005069475320755866
0.61 0.0 0.0004368931481778472 6.082892330614433 0.5280767623197203 0.007839467129040328
0.62 0.00015415715721133158 0.000395676813444088 5.590722725883191 1.0224169618401173 0.011081945489953116
0.63 0.00014941386006636753 0.000681443400931485 4.913794221113605 1.6921394448780362 0.011704259314597622
0.64 0.0001470422114938855 0.0003407217004657425 4.1374537309035375 2.481845593593829 0.014274726886660722
0.65 0.0 0.0004204066142843435 3.397082281633956 3.319956662048279 0.02157548620614302
0.66 0.0 0.0001731086058817885 2.6784475965836316 4.140523653681043 0.03011614366633285
0.67 0.0 0.000346217211763577 2.0400933082180304 4.844550800892781 0.03974589710618707
0.68 0.0 0.00024455025275363774 1.4881520966655128 5.379631703026198 0.05155337667420226
0.6900000000000001 0.0 0.00017036085023287124 1.0377785678486702 5.826470357580014 0.07074590150721348
0.7 8.300770003687085e-05 0.0001758563615307058 0.7030683571255654 6.112656375076762 0.10344247726078637
0.71 8.537934860935288e-05 4.121633473375917e-05 0.45361156954131604 6.412996023063399 0.15158598606019377
0.72 7.589275431942478e-05 0.0002637845422960587 0.2784085753611482 6.552222709977536 0.2375365477220355
0.73 0.0 9.067593641427018e-05 0.16209441287970394 6.63793895173887 0.37987634247123464
0.74 0.0 0.0001346400267969466 0.0969398555148006 6.593832268615578 0.5795721510245522
0.75 7.352110574694275e-05 0.0001731086058817885 0.05080002258189641 6.482163705335644 0.8958656392062477
0.76 0.00015415715721133158 0.00012914451549911205 0.029092024965410225 6.303362482940484 1.3191800342435658
0.77 0.0 0.00012914451549911205 0.016396963579787482 5.934308811774029 1.8809919834636704
0.78 0.0 0.00012364900420127752 0.009901105091435271 5.3566768195462995 2.647324466522954
0.79 0.0 9.067593641427018e-05 0.006109307263609415 4.580972202223358 3.6387060161121023
0.8 0.0 0.0 0.004552314888598893 3.6239425783279926 4.872989593429678
0.81 0.0 0.00013189227114802934 0.0027292314379514693 2.5048255816170393 6.185778863437488
0.8200000000000001 0.0 0.0 0.0021431119064809954 1.5532149844515881 7.327028739211503
0.8300000000000001 8.063605146438883e-05 4.396409038267645e-05 0.0015623861130301888 0.8503090994531104 8.06217577434683
0.84 0.0 3.846857908484189e-05 0.0013664136316489568 0.4369825664164797 8.42883849230576
0.85 0.0 4.121633473375917e-05 0.0012441555698698397 0.22949373810215087 8.444478832756715
0.86 0.0 0.0 0.0010931309053191654 0.1205035852131589 8.274295222846158
0.87 0.0 0.0 0.0011704411502677248 0.06069700946320246 7.895470283696842
0.88 0.0 0.0 0.0007389421086943702 0.03284118593484978 7.195287746748841
0.89 0.0 0.0 0.0007047817679031462 0.017664711928048058 6.239401213987041
0.9 0.0 0.0 0.0004620635570181341 0.009737896836077604 4.978700412168849
0.91 0.0 0.0001621175832861194 0.0004998197231558027 0.0046956604199520045 3.5671932751347835
0.92 0.0 0.0 0.0002804743770226806 0.0031422890319739378 2.30145781887563
0.93 0.0 0.0 0.0003811574867231301 0.0021789854938914295 1.3692135401084173
0.9400000000000001 0.0 8.79281807653529e-05 0.00026968690098334673 0.0008548874572282037 0.7760845873604928
0.95 0.0 4.121633473375917e-05 0.0002571015122707906 0.0009064295284540205 0.5066816238466564
0.96 0.0 0.0 0.0003991366134553532 0.0008815471492415571 0.3455664326819521
0.97 0.0 0.0 0.00014742883920422956 0.00036612643698338864 0.24647518468401877
0.98 0.0 4.396409038267645e-05 0.00022653699682601128 0.0003767903137887301 0.19086485385639637
0.99 0.0 4.396409038267645e-05 0.0002445161235582344 0.00010663876805341418 0.15680959301432426
1.0 0.0 4.121633473375917e-05 0.00016720587860967497 0.00038034493939051055 0.11497634306072871
1.0100000000000002 0.0 0.0 0.00031103889246745993 5.331938402670709e-05 0.08006704484968911
1.02 0.0 0.0 0.00035958253464446233 0.0001030841424516337 0.06236347509638489
1.0300000000000002 0.0 0.0 5.573529286989166e-05 0.00020794559770415764 0.049932023832975125
1.04 0.0 0.0 0.0002283349094992336 0.00015995815208012126 0.0367819313688488
1.0500000000000003 0.0 0.0 0.00014383301385778493 0.0 0.03291793302876417
1.06 0.0 0.0 0.00014203510118456262 0.00016351277768190175 0.027045905362619374
1.0700000000000003 0.0 0.0 0.00011147058573978332 0.00015462621367745056 0.021575900165281228
1.08 0.0 4.9459601680511e-05 5.393738019666935e-05 0.0 0.01779730556209334
1.0900000000000003 0.0 0.0 0.00011686432375945026 0.0 0.017599418854649652
1.1 0.0 0.0 2.5170777425112365e-05 0.0001030841424516337 0.011217051785097453
1.1100000000000003 0.0 0.0 0.00011866223643267258 0.0001226345832614263 0.008523709545890209
1.12 0.0 0.0 8.629980831467096e-05 6.220594803115827e-05 0.006028254014126653
1.1300000000000003 0.0 0.0 0.00010967267306656101 5.331938402670709e-05 0.0051471374115089705
1.1400000000000001 0.0 0.0 2.5170777425112365e-05 0.0 0.004653462151886297
1.1500000000000001 0.0 0.0 5.034155485022473e-05 0.0 0.004361839635653494
1.1600000000000001 0.0 4.121633473375917e-05 0.0 0.0 0.004843016787437619
1.17 0.0 4.396409038267645e-05 2.6968690098334675e-05 0.0 0.004984662009607837
1.1800000000000002 0.0 0.0 0.0 0.0 0.005134639303670421
1.19 0.0 0.0 8.629980831467096e-05 0.0 0.001833055816320475
1.2000000000000002 0.0 0.0 0.0 0.0 0.0
1.21 0.0 0.0 0.0 0.0 0.0
1.2200000000000002 0.0 0.0 0.0 0.0 0.0
1.23 0.0 0.0 0.0 0.0 0.0
