# z n_z
2.594999999999999751e+00 0.000000000000000000e+00
2.604999999999999982e+00 0.000000000000000000e+00
2.615000000000000213e+00 0.000000000000000000e+00
2.625000000000000000e+00 0.000000000000000000e+00
2.634999999999999787e+00 0.000000000000000000e+00
2.645000000000000018e+00 0.000000000000000000e+00
2.655000000000000249e+00 0.000000000000000000e+00
2.665000000000000036e+00 0.000000000000000000e+00
2.674999999999999822e+00 0.000000000000000000e+00
2.685000000000000053e+00 0.000000000000000000e+00
2.695000000000000284e+00 0.000000000000000000e+00
2.705000000000000071e+00 0.000000000000000000e+00
2.714999999999999858e+00 0.000000000000000000e+00
2.725000000000000089e+00 0.000000000000000000e+00
2.735000000000000320e+00 0.000000000000000000e+00
2.745000000000000107e+00 0.000000000000000000e+00
2.754999999999999893e+00 0.000000000000000000e+00
2.765000000000000124e+00 0.000000000000000000e+00
2.775000000000000355e+00 0.000000000000000000e+00
2.785000000000000142e+00 0.000000000000000000e+00
2.794999999999999929e+00 0.000000000000000000e+00
2.805000000000000160e+00 0.000000000000000000e+00
2.814999999999999947e+00 0.000000000000000000e+00
2.825000000000000178e+00 0.000000000000000000e+00
2.834999999999999964e+00 0.000000000000000000e+00
2.844999999999999751e+00 0.000000000000000000e+00
2.854999999999999982e+00 0.000000000000000000e+00
2.865000000000000213e+00 0.000000000000000000e+00
2.875000000000000000e+00 0.000000000000000000e+00
2.884999999999999787e+00 0.000000000000000000e+00
2.895000000000000018e+00 0.000000000000000000e+00
2.905000000000000249e+00 0.000000000000000000e+00
2.915000000000000036e+00 0.000000000000000000e+00
2.924999999999999822e+00 0.000000000000000000e+00
2.935000000000000053e+00 0.000000000000000000e+00
2.945000000000000284e+00 0.000000000000000000e+00
2.955000000000000071e+00 0.000000000000000000e+00
2.964999999999999858e+00 0.000000000000000000e+00
2.975000000000000089e+00 0.000000000000000000e+00
2.985000000000000320e+00 0.000000000000000000e+00
2.995000000000000107e+00 0.000000000000000000e+00
